ligand_id,role,max_tanimoto_to_train,nearest_training_id
4,calibration,0.5555555555555556,2760
14,calibration,0.68,532
15,calibration,0.5660377358490566,5821
24,calibration,0.8888888888888888,11927
25,calibration,0.4057971014492754,44
36,calibration,0.7796610169491526,30
47,calibration,1.0,54
48,calibration,0.4358974358974359,883
53,calibration,0.6458333333333334,45
56,calibration,0.2711864406779661,16347
63,calibration,0.6923076923076923,8624
71,calibration,0.5625,1090
80,calibration,0.4583333333333333,377
86,calibration,0.4146341463414634,16474
103,calibration,0.35714285714285715,1176
106,calibration,0.5375,633
115,calibration,0.5416666666666666,12341
124,calibration,0.4857142857142857,170
134,calibration,0.723404255319149,7624
141,calibration,0.6842105263157895,8785
150,calibration,0.4444444444444444,6182
163,calibration,0.8157894736842105,365
202,calibration,0.5789473684210527,2302
208,calibration,0.5384615384615384,1764
211,calibration,0.6363636363636364,394
226,calibration,0.9069767441860465,15497
234,calibration,0.6538461538461539,960
249,calibration,0.7659574468085106,10873
250,calibration,0.8181818181818182,12630
264,calibration,0.5853658536585366,262
270,calibration,0.625,121
271,calibration,0.35135135135135137,1955
281,calibration,0.40350877192982454,12536
301,calibration,0.7631578947368421,712
306,calibration,0.4444444444444444,11218
307,calibration,0.7631578947368421,292
310,calibration,0.6285714285714286,1379
325,calibration,1.0,54
334,calibration,0.6818181818181818,3624
337,calibration,0.6341463414634146,646
343,calibration,0.6216216216216216,10054
358,calibration,0.6557377049180327,7209
362,calibration,0.8125,3002
368,calibration,0.375,1892
378,calibration,0.6111111111111112,10685
393,calibration,0.38028169014084506,15982
396,calibration,0.765625,2453
397,calibration,0.39215686274509803,15056
405,calibration,0.26153846153846155,6731
408,calibration,0.5172413793103449,5788
415,calibration,0.6470588235294118,2808
426,calibration,0.4411764705882353,743
433,calibration,0.7962962962962963,118
440,calibration,0.75,1552
454,calibration,0.6410256410256411,4416
459,calibration,0.5,5138
463,calibration,0.9534883720930233,10873
469,calibration,1.0,1268
470,calibration,0.4,7778
475,calibration,0.7121212121212122,2304
476,calibration,0.5757575757575758,6111
493,calibration,0.5510204081632653,12464
497,calibration,0.5365853658536586,263
499,calibration,0.5116279069767442,262
502,calibration,0.5641025641025641,8938
514,calibration,0.3870967741935484,13093
519,calibration,0.5319148936170213,10121
521,calibration,0.37037037037037035,10168
525,calibration,0.6197183098591549,2731
540,calibration,0.8,3718
547,calibration,0.48148148148148145,67
548,calibration,0.4166666666666667,714
554,calibration,0.38461538461538464,6
566,calibration,0.7567567567567568,7176
567,calibration,0.34782608695652173,1176
569,calibration,0.4,12692
594,calibration,0.6086956521739131,67
607,calibration,0.6491228070175439,15125
608,calibration,0.7333333333333333,14332
621,calibration,0.36666666666666664,6836
622,calibration,0.7346938775510204,6182
623,calibration,0.7391304347826086,1431
634,calibration,0.3157894736842105,11301
645,calibration,0.725,4573
649,calibration,0.6037735849056604,12304
658,calibration,0.7021276595744681,6715
664,calibration,0.803921568627451,16298
669,calibration,0.65,2520
677,calibration,0.68,14647
679,calibration,0.7837837837837838,361
696,calibration,0.6041666666666666,568
698,calibration,0.5272727272727272,11902
703,calibration,0.4117647058823529,1908
724,calibration,0.5833333333333334,686
728,calibration,0.7727272727272727,15467
746,calibration,0.8333333333333334,12152
763,calibration,1.0,1978
767,calibration,0.7419354838709677,768
769,calibration,0.6290322580645161,766
772,calibration,0.7288135593220338,768
773,calibration,0.38461538461538464,15082
780,calibration,0.3958333333333333,3135
796,calibration,0.625,1557
798,calibration,0.52,2940
813,calibration,0.5333333333333333,15319
818,calibration,1.0,1978
832,calibration,0.6363636363636364,1536
834,calibration,0.6333333333333333,1789
837,calibration,0.3,860
840,calibration,0.8163265306122449,312
844,calibration,0.6461538461538462,12153
846,calibration,0.34375,13515
850,calibration,0.7142857142857143,1081
855,calibration,0.5333333333333333,821
893,calibration,0.7333333333333333,1153
904,calibration,0.627906976744186,15332
920,calibration,0.6470588235294118,2539
961,calibration,0.4,2459
967,calibration,0.45,15871
983,calibration,0.35,5877
987,calibration,0.7333333333333333,2933
999,calibration,0.5,9768
1005,calibration,0.5161290322580645,5286
1012,calibration,0.5714285714285714,2692
1020,calibration,0.6111111111111112,3298
1026,calibration,0.41379310344827586,1032
1027,calibration,0.6111111111111112,394
1030,calibration,0.4666666666666667,1732
1031,calibration,0.4444444444444444,15506
1036,calibration,0.7894736842105263,2470
1037,calibration,0.6470588235294118,16411
1043,calibration,0.5666666666666667,966
1056,calibration,0.56,1747
1076,calibration,0.4166666666666667,1268
1091,calibration,1.0,54
1097,calibration,0.7792207792207793,2209
1098,calibration,0.8571428571428571,2127
1099,calibration,0.7307692307692307,3636
1104,calibration,0.76,903
1108,calibration,0.7037037037037037,929
1111,calibration,0.42857142857142855,8992
1125,calibration,0.6296296296296297,1010
1129,calibration,0.5263157894736842,233
1132,calibration,0.5,1336
1151,calibration,0.4117647058823529,6539
1162,calibration,0.8888888888888888,3670
1165,calibration,0.34177215189873417,3091
1185,calibration,0.55,7122
1188,calibration,0.4473684210526316,6531
1189,calibration,0.75,2557
1203,calibration,0.5833333333333334,1401
1204,calibration,0.42424242424242425,8410
1226,calibration,0.35714285714285715,1694
1233,calibration,0.7446808510638298,5026
1248,calibration,0.38235294117647056,2138
1270,calibration,0.6857142857142857,787
1287,calibration,0.5769230769230769,236
1297,calibration,0.6153846153846154,1371
1301,calibration,0.3684210526315789,1371
1307,calibration,0.609375,6655
1310,calibration,0.5517241379310345,1309
1319,calibration,0.4,11062
1322,calibration,1.0,54
1323,calibration,0.9285714285714286,486
1328,calibration,0.5263157894736842,958
1329,calibration,0.5111111111111111,11079
1337,calibration,0.6721311475409836,1859
1345,calibration,0.7368421052631579,2546
1347,calibration,0.35714285714285715,1807
1354,calibration,0.36363636363636365,11925
1365,calibration,0.6071428571428571,1136
1372,calibration,0.6851851851851852,15125
1375,calibration,0.4,9431
1377,calibration,0.4666666666666667,1981
1380,calibration,0.2727272727272727,7440
1381,calibration,0.7169811320754716,1387
1385,calibration,0.625,1361
1389,calibration,0.725,1362
1396,calibration,0.5862068965517241,2501
1413,calibration,0.42857142857142855,3101
1415,calibration,0.8867924528301887,9456
1418,calibration,0.725,9778
1435,calibration,0.43137254901960786,15332
1438,calibration,0.30434782608695654,1442
1450,calibration,0.48148148148148145,2463
1460,calibration,0.7222222222222222,1651
1469,calibration,0.4090909090909091,9081
1474,calibration,0.4864864864864865,7363
1483,calibration,0.2857142857142857,1599
1504,calibration,0.6935483870967742,3360
1516,calibration,0.2857142857142857,2608
1517,calibration,0.75,8291
1519,calibration,0.40425531914893614,3858
1532,calibration,0.7307692307692307,3235
1533,calibration,0.5492957746478874,11263
1538,calibration,0.48148148148148145,15324
1561,calibration,0.5714285714285714,959
1567,calibration,0.65,7396
1568,calibration,0.5416666666666666,295
1571,calibration,0.5,16454
1577,calibration,0.3,1064
1578,calibration,1.0,1152
1580,calibration,0.38235294117647056,971
1589,calibration,0.2727272727272727,528
1600,calibration,1.0,1085
1612,calibration,0.6041666666666666,3551
1620,calibration,0.4888888888888889,7620
1632,calibration,0.5217391304347826,1210
1660,calibration,0.4,15043
1666,calibration,0.5517241379310345,1479
1682,calibration,0.3076923076923077,862
1684,calibration,0.42857142857142855,9306
1699,calibration,0.35,6877
1703,calibration,0.5,2803
1710,calibration,0.38461538461538464,5254
1736,calibration,0.5862068965517241,1751
1743,calibration,0.65,2470
1754,calibration,0.47619047619047616,2244
1773,calibration,0.4090909090909091,1023
1776,calibration,1.0,54
