ligand_id,cluster_id
2,8240.0
9,8236.0
10,8235.0
11,8234.0
12,234.0
13,8233.0
16,139.0
18,2108.0
20,441.0
21,8231.0
26,8229.0
27,8228.0
28,718.0
29,8227.0
30,1162.0
31,2132.0
32,8226.0
33,2054.0
34,8225.0
35,8224.0
37,2132.0
39,8223.0
40,8222.0
41,8221.0
42,8220.0
45,8217.0
49,8214.0
50,1118.0
52,8213.0
57,8209.0
58,8208.0
59,1625.0
65,8205.0
66,8204.0
67,8203.0
69,33.0
72,2116.0
75,8198.0
76,8197.0
77,8196.0
81,8194.0
83,8193.0
84,8192.0
85,8191.0
88,8189.0
90,2129.0
92,1593.0
93,8187.0
95,8186.0
96,8185.0
100,8183.0
104,8180.0
108,71.0
113,73.0
116,8177.0
118,2119.0
121,8175.0
122,13.0
123,8174.0
125,465.0
126,716.0
127,397.0
128,2130.0
129,1462.0
131,2129.0
135,8171.0
136,716.0
139,211.0
140,8169.0
145,8167.0
148,479.0
152,43.0
153,8165.0
157,8163.0
158,2048.0
159,1042.0
160,371.0
161,8162.0
162,716.0
164,8161.0
166,237.0
175,8159.0
182,25.0
184,8156.0
189,8155.0
195,8152.0
197,8150.0
200,2127.0
201,1811.0
203,8149.0
206,975.0
213,8144.0
215,1223.0
217,325.0
221,96.0
225,8141.0
228,1762.0
229,445.0
231,876.0
233,8140.0
241,181.0
248,189.0
251,8134.0
253,166.0
254,166.0
257,8132.0
259,8131.0
262,8128.0
273,8122.0
274,88.0
275,8121.0
276,8120.0
279,99.0
280,64.0
283,8118.0
287,1159.0
289,8116.0
292,707.0
293,46.0
294,211.0
295,684.0
300,56.0
312,26.0
313,8113.0
317,8112.0
318,8111.0
321,8109.0
322,1151.0
323,8108.0
324,8107.0
326,21.0
327,8106.0
332,8105.0
335,8103.0
336,8102.0
338,8100.0
340,143.0
348,8095.0
350,8094.0
353,8093.0
356,8092.0
357,459.0
360,8091.0
361,458.0
363,1151.0
364,8090.0
365,2121.0
366,8089.0
370,8087.0
372,8086.0
374,8085.0
377,1807.0
382,717.0
383,2092.0
389,1212.0
391,8080.0
392,8079.0
394,1156.0
395,47.0
398,8076.0
400,8074.0
403,8072.0
404,8071.0
406,238.0
410,8067.0
412,8065.0
414,1523.0
418,324.0
420,1081.0
422,8061.0
424,1.0
425,1.0
427,8058.0
428,8057.0
432,8055.0
447,323.0
448,8050.0
449,460.0
451,8048.0
452,8047.0
457,8045.0
461,1881.0
462,1937.0
466,8043.0
473,8038.0
474,609.0
481,8032.0
482,98.0
487,8031.0
489,8029.0
490,684.0
491,8028.0
492,8027.0
495,8026.0
498,8024.0
500,8022.0
503,1154.0
506,8019.0
508,8017.0
510,2031.0
512,2118.0
513,8016.0
516,8014.0
520,8013.0
523,8011.0
524,1271.0
526,8009.0
527,47.0
528,8008.0
529,8007.0
530,8006.0
532,2117.0
534,8004.0
535,8003.0
537,8002.0
546,737.0
551,7997.0
553,46.0
556,7995.0
559,1444.0
562,1153.0
564,7994.0
573,325.0
579,2115.0
580,7988.0
583,371.0
586,7987.0
587,7986.0
589,7985.0
592,7984.0
595,7981.0
598,1151.0
600,143.0
601,1679.0
602,859.0
609,323.0
611,7979.0
613,1921.0
614,7978.0
615,7977.0
619,7974.0
626,7970.0
627,322.0
630,7969.0
633,1146.0
637,7967.0
641,73.0
642,7966.0
646,7964.0
647,7963.0
648,7962.0
659,12.0
660,7956.0
668,7954.0
671,7952.0
672,1148.0
678,7951.0
680,7950.0
681,7949.0
684,7947.0
686,2113.0
687,459.0
688,869.0
690,7945.0
694,2112.0
697,237.0
699,7941.0
700,713.0
701,7940.0
702,1876.0
704,1939.0
705,859.0
707,7938.0
710,1847.0
711,1146.0
718,7934.0
719,7933.0
721,2110.0
722,7932.0
