ligand_id,set,Butina_clusters
12,test,234.0
14,test,2117.0
15,test,2124.0
18,test,2108.0
23,test,705.0
25,test,8230.0
27,test,8228.0
45,test,8217.0
56,test,8210.0
59,test,1625.0
63,test,1161.0
79,test,20.0
80,test,8195.0
91,test,8188.0
96,test,8185.0
100,test,8183.0
101,test,8182.0
103,test,8181.0
116,test,8177.0
126,test,716.0
129,test,1462.0
135,test,8171.0
136,test,716.0
150,test,1802.0
151,test,8166.0
159,test,1042.0
162,test,716.0
163,test,2121.0
190,test,8154.0
203,test,8149.0
204,test,8148.0
207,test,1677.0
208,test,8147.0
215,test,1223.0
217,test,325.0
221,test,96.0
227,test,325.0
234,test,2104.0
236,test,8139.0
240,test,2125.0
243,test,8138.0
256,test,8133.0
258,test,2124.0
271,test,8123.0
274,test,88.0
281,test,8119.0
288,test,8117.0
299,test,2122.0
302,test,8115.0
318,test,8111.0
320,test,8110.0
324,test,8107.0
327,test,8106.0
339,test,8099.0
343,test,8098.0
344,test,1201.0
357,test,459.0
358,test,1730.0
362,test,715.0
365,test,2121.0
381,test,8082.0
396,test,714.0
408,test,8068.0
410,test,8067.0
414,test,1523.0
415,test,8064.0
416,test,2120.0
447,test,323.0
450,test,8049.0
457,test,8045.0
462,test,1937.0
467,test,8042.0
476,test,8037.0
479,test,8034.0
487,test,8031.0
489,test,8029.0
492,test,8027.0
496,test,1154.0
503,test,1154.0
509,test,1558.0
514,test,8015.0
520,test,8013.0
521,test,8012.0
524,test,1271.0
532,test,2117.0
533,test,765.0
546,test,737.0
548,test,7998.0
566,test,1152.0
568,test,7991.0
569,test,7990.0
573,test,325.0
580,test,7988.0
595,test,7981.0
596,test,459.0
601,test,1679.0
603,test,1989.0
609,test,323.0
612,test,323.0
618,test,7975.0
623,test,455.0
629,test,1002.0
631,test,1565.0
638,test,96.0
640,test,1150.0
642,test,7966.0
658,test,1012.0
668,test,7954.0
676,test,705.0
680,test,7950.0
687,test,459.0
691,test,7944.0
695,test,7943.0
702,test,1876.0
707,test,7938.0
716,test,7935.0
722,test,7932.0
728,test,20.0
745,test,7924.0
746,test,321.0
755,test,459.0
759,test,7919.0
762,test,7918.0
763,test,49.0
773,test,7914.0
778,test,1303.0
789,test,97.0
800,test,1111.0
804,test,7901.0
811,test,169.0
815,test,1880.0
818,test,49.0
825,test,7890.0
829,test,2108.0
833,test,234.0
834,test,7885.0
840,test,168.0
841,test,7880.0
844,test,96.0
848,test,7876.0
849,test,7875.0
861,test,7869.0
862,test,7868.0
864,test,7866.0
874,test,7860.0
882,test,1963.0
